origin,destination,distance,duration
6500 Castor Ave,6434 Castor Ave,30,10
2703 Tasker St,2703 Tasker St,0,0
4355 Paul St,4667 Paul St.,644,161
100 E. Lehigh Ave.,100 E. Lehigh Ave.,0,0
4355 Paul St,4355 Paul St,0,0
1801 W Diamond St,3101 Ridge Ave.,2190,443
4700 Wyalusing Ave.,769 N 39th St,1571,294
1801 W Diamond St,1510 W Oxford St,1573,393
1801 W Diamond St,1801 W Diamond St,0,0
704 W Girard Ave,704 W Girard Ave,0,0
2703 Tasker St,769 N 39th St,4800,869
704 W Girard Ave,2000 N 11th St,1826,361
4355 Paul St,537 E. Wyoming Ave.,3388,488
2703 Tasker St,1419 Wharton St,2402,498
4355 Paul St,169 W. Wyoming Ave.,4462,709
1801 W Diamond St,3001 Walnut St.,5676,1220
4355 Paul St,6434 Castor Ave,3621,669
2703 Tasker St,1220 S. 58th St,6167,913
1801 W Diamond St,2000 N 11th St,1577,420
735 W. Butler St.,537 E. Wyoming Ave.,3204,479
4355 Paul St,900 E Howell St,3390,664
2703 Tasker St,3101 Ridge Ave.,8818,838
2703 Tasker St,2455 S. 3rd Street,4818,1003
100 E. Lehigh Ave.,521-23 W. Lehigh Ave.,1338,299
4355 Paul St,3001 Walnut St.,14618,1173
2703 Tasker St,3001 Walnut St.,4116,477
4355 Paul St,4520 Benner St,2943,556
2703 Tasker St,8398 Lindbergh Blvd,11349,868
4355 Paul St,6500 Castor Ave,3621,662
3001 Walnut St.,169 W. Wyoming Ave.,14545,1078
735 W. Butler St.,169 W. Wyoming Ave.,2983,456
3001 Walnut St.,4700 Wyalusing Ave.,4116,708
4355 Paul St,2455 S. 3rd Street,15770,1039
704 W Girard Ave,769 N 39th St,6064,976
6500 Castor Ave,735 W. Butler St.,7832,1001
100 E. Lehigh Ave.,169 W. Wyoming Ave.,4157,785
3001 Walnut St.,8398 Lindbergh Blvd,12878,1029
3001 Walnut St.,537 E. Wyoming Ave.,16349,1270
2703 Tasker St,1801 W Diamond St,10045,1100
8398 Lindbergh Blvd,3001 Walnut St.,13620,1098
704 W Girard Ave,1510 W Oxford St,1929,344
